title,slug,subtitle,location,state,region,category,platform,price,rating,reviewCount,sleeps,bedrooms,featured,editorsPick,isNew,imageUrl,affiliateUrl,description
"Hilltop Castle — Private Pocono Estate","hilltop-castle-pocono-pa","Soaring castle with bowling alley, pools, and movie theater","Pocono Mountains, Pennsylvania","Pennsylvania","Northeast",10,"VRBO",1800,4.9,,44,18,false,false,false,"https://media.vrbo.com/lodging/35000000/34450000/34447000/34446936/c9afeeda.jpg","https://www.vrbo.com/7378631ha","Hilltop Castle is an 18-bedroom private castle estate in the Pocono Mountains for groups of up to 44 — with a bowling alley, indoor and outdoor pools, a movie theater, and enough castle to get genuinely lost in. The ultimate group retreat."
"Majestic Secluded Castle — Breathtaking Views","majestic-castle-mount-pocono-pa","Grand castle with mountain panoramas, total seclusion","Mount Pocono, Pennsylvania","Pennsylvania","Northeast",10,"Airbnb",495,4.95,42,12,5,false,false,false,"https://a0.muscache.com/im/pictures/prohost-api/Hosting-1151093163865064955/original/6fe2e9f1-76ed-4af4-9a68-6116facd81bc.jpeg","https://www.airbnb.com/rooms/1151093163865064955","A majestic secluded castle in the Pocono Mountains with breathtaking panoramic views — five bedrooms, sweeping grounds, and the kind of total privacy that makes you feel like the estate is yours and yours alone."
"Pocono Castle with Dungeon Escape Room","pocono-castle-escape-room-pa","Storybook castle with private pond and dungeon","East Stroudsburg, Pennsylvania","Pennsylvania","Northeast",10,"Airbnb",425,4.94,188,8,4,false,false,false,"https://a0.muscache.com/im/pictures/fe7217ff-0b24-438d-880d-b94722c75bf5.jpg","https://www.airbnb.com/rooms/46853667","A 2,300 sq ft storybook castle in the Pocono Mountains with a private pond, a dungeon escape room, and every detail calibrated for fantasy immersion. Four bedrooms, a moat, battlements, and a cedar sauna. Harry Potter fans book this repeatedly."
"Storybook Castle Bed & Breakfast","storybook-castle-fairhope-al","Sculptor-built castle in Alabama's artsy Gulf town","Fairhope, Alabama","Alabama","Southeast",10,"Airbnb",285,4.91,115,4,2,false,false,false,"https://a0.muscache.com/im/pictures/miso/Hosting-28982769/original/bffc3e64-9cc4-43e4-bd83-d6d81e6c88c8.jpeg","https://www.airbnb.com/rooms/28982769","The Sheldon Storybook Castle — a Baldwin County Historic landmark built by sculptor Craig Sheldon as part sculpture, part fairytale. A private guest suite inside one of the most whimsical structures in the American South, in Fairhope's charming village by the bay."
"Williamswood Castle","williamswood-castle-knoxville-tn","Gothic revival castle near downtown Knoxville","Knoxville, Tennessee","Tennessee","Southeast",10,"Airbnb",375,4.9,342,8,4,false,false,false,"https://a0.muscache.com/im/pictures/66332628/58b2bd42_original.jpg","https://www.airbnb.com/rooms/5151609","Williamswood Castle is a genuine Gothic revival castle a few minutes from downtown Knoxville — the kind of architectural treasure that shouldn't exist in East Tennessee and absolutely does. Four bedrooms, turrets, and over a century of history."
"Private Castle Getaway with Large Lawn","castle-getaway-san-antonio-tx","Stone castle retreat in the Texas Hill Country","San Antonio, Texas","Texas","South",10,"Airbnb",345,4.88,95,8,3,false,false,false,"https://a0.muscache.com/im/pictures/hosting/Hosting-17045982/original/c6b901fc-0285-470b-b02e-2e2c673098f1.png","https://www.airbnb.com/rooms/17045982","A private castle-style getaway on a large lawn near San Antonio — a genuine stone castle with the feel of a European country estate dropped into the Texas Hill Country. Three bedrooms, space to roam, and the Alamo City nearby."
"Luxury Castle Retreat near Sacramento","luxury-castle-davis-ca","European castle on 6 acres in the Sacramento Valley","Davis, California","California","West",10,"Airbnb",650,4.96,72,12,6,false,false,false,"https://a0.muscache.com/im/pictures/miso/Hosting-927867050723240616/original/158c2eba-4a77-42de-a4d5-87a0897439ab.jpeg","https://www.airbnb.com/rooms/927867050723240616","A European-inspired luxury castle on 6 private acres in the Sacramento Valley — turrets, grand staircase, and estate grounds with pool. Six bedrooms that feel like a European royal stay, 20 minutes from Sacramento."
"The Castle — Northern Arizona Luxury Estate","castle-flagstaff-az","Mountain castle amid Ponderosa pines at 7,000 feet","Flagstaff, Arizona","Arizona","Southwest",10,"Airbnb",545,4.92,185,10,5,false,false,false,"https://a0.muscache.com/im/pictures/fe7217ff-0b24-438d-880d-b94722c75bf5.jpg","https://www.airbnb.com/rooms/12384486","The Castle is a custom-built luxury estate in Flagstaff, Arizona — a true stone castle perched among Ponderosa pines at 7,000 feet. Five bedrooms, dramatic mountain architecture, and the Grand Canyon just 80 miles away."
"Castle Estate in SW Portland","castle-estate-portland-or","Stone castle minutes from downtown Portland","Portland, Oregon","Oregon","West",10,"Airbnb",495,4.94,128,10,4,false,false,false,"https://a0.muscache.com/im/pictures/8c0d9a6e-d1cc-4746-95e5-a4d2143f4c7a.jpg","https://www.airbnb.com/rooms/31271674","A proper stone castle estate in the hills of SW Portland — an architectural statement you don't expect minutes from downtown. Four bedrooms, tall ceilings, arched doorways, and the kind of scale that makes ordinary vacation rentals look ordinary."
"Extraordinary Medieval Castle with Life-Size Dragons","medieval-castle-monroe-wa","Immersive fantasy castle in the Cascade foothills","Monroe, Washington","Washington","West",10,"Airbnb",895,4.96,55,14,6,false,false,false,"https://a0.muscache.com/im/pictures/miso/Hosting-819178206151122596/original/13bb0176-cbee-4749-81ae-3145efd607cc.jpeg","https://www.airbnb.com/rooms/819178206151122596","A genuinely extraordinary medieval castle in the Cascade foothills of Washington — complete with life-size dragons, a majestic Great Hall, a dungeon, and towering battlements. Six bedrooms, 14 guests, and an experience that makes Game of Thrones fans lose their minds."
